descriptor,Activity,Functional unit,ACD,ETF,FRU,FWE,GHG,HTC,HTN,IOR,LDU,MRU,OZD,PCO,PMA,SWE,TRE,WTU
USE_PHASE:WASHING/HAND#LIQUID_DETERGENT@GLO,Hand wash (liquid),1 kg textile,0.0005043019105398531,1.325156313401794,1.6509509875172659,7.790397236377202e-05,0.08503260233365242,5.3667922915982086e-11,1.8668099373464296e-09,0.03427933820345788,0.9829356998923023,1.0114459074314307e-06,1.838964705815967e-09,0.00028582123734691275,3.0320840724110887e-09,0.0002527743983799994,0.000968959221400806,0.09017763704133981
USE_PHASE:WASHING/HAND#POWDER_DETERGENT@GLO,Hand wash (powder),1 kg textile,0.0006719097573680601,1.2454987246688285,2.1387510667583722,9.305491843853401e-05,0.12313166593497753,8.334969412702452e-11,2.1107806487491406e-09,0.03828935715160403,0.7831905215575552,3.6987834342402904e-06,2.8286065861183877e-09,0.0003834860365642271,4.946165637080072e-09,0.00025202328430641525,0.0012092387336494087,0.07117296590949475
USE_PHASE:WASHING/MACHINE/30C#LIQUID_DETERGENT@GLO,Machine 30° (liquid),1 kg textile,0.0008737907168960423,4.249907846012665,2.5523812879714924,0.00016151529092777678,0.14424811713077274,1.1604221351163016e-10,5.563508095396311e-09,0.045087377524513736,1.2558658360576163,2.5907505204331395e-06,2.5949922197246174e-09,0.00048728209706241856,7.221772129351349e-09,0.0007808796564851717,0.001633719009256491,0.11628496073661038
USE_PHASE:WASHING/MACHINE/30C#POWDER_DETERGENT@GLO,Machine 30° (powder),1 kg textile,0.0010419578590644936,4.1963694090000745,3.041503352192649,0.0001771884308936158,0.18246319672595324,1.4584545170606944e-10,5.825410018685617e-09,0.04911543327096652,1.05669147856056,5.278698006238337e-06,3.5862818936083853e-09,0.0005853313850403055,9.142437606164258e-09,0.0007849070462882771,0.0018757514063962126,0.09733743692908263
USE_PHASE:WASHING/MACHINE/40C#LIQUID_DETERGENT@GLO,Machine 40° (liquid),1 kg textile,0.0009753666354520593,2.8590318762554228,2.990257533470942,0.00015665852884697915,0.16104594477014034,1.1238691900335973e-10,4.722844378067027e-09,0.057886691193970205,1.3331564415965964,2.90660421952587e-06,2.9518882977156594e-09,0.0005204783694289053,7.108993600228889e-09,0.000532205272170939,0.001711411963299984,0.12677519604395182
USE_PHASE:WASHING/MACHINE/40C#POWDER_DETERGENT@GLO,Machine 40° (powder),1 kg textile,0.0011429744823293635,2.7793742872908362,3.47805761224623,0.00017180947483820089,0.19914500834426746,1.4206869031652848e-10,4.966815107493354e-09,0.061896710137332445,1.1334112643087164,5.593941741493569e-06,3.941530174189001e-09,0.000618143168459817,9.023075171268464e-09,0.0005314541581022884,0.0019516914783942975,0.10777052488267329
USE_PHASE:WASHING/MACHINE/60C#LIQUID_DETERGENT@GLO,Machine 60° (liquid),1 kg textile,0.0008963808591863632,2.2997904118132713,2.712619859533408,0.00013481548869466003,0.14648377625380798,1.0524477759317684e-10,4.10612259003187e-09,0.05123716808991276,1.267532740718176,2.74456843345493e-06,2.698837506181154e-09,0.0004811536876508873,6.663011366317219e-09,0.0004262375152430183,0.0015758582744376313,0.11887979777808735
USE_PHASE:WASHING/MACHINE/60C#POWDER_DETERGENT@GLO,Machine 60° (powder),1 kg textile,0.0010639887082507242,2.220132825113568,3.2004199408010816,0.00014996643485789215,0.18458284003523945,1.349265490558365e-10,4.350093316983915e-09,0.05524718704716325,1.0677875657346931,5.431905972236817e-06,3.688479387288711e-09,0.0005788184878742628,8.577092961507621e-09,0.00042548640146926255,0.0018161377928367659,0.09987512669951555
USE_PHASE:WASHING/DRY_CLEANING@GLO,Dry cleaning,1 kg textile,0.00167244912719313,3.1128958020477193,5.709016393332158,0.00022089548234567702,0.4102951065540127,6.515867145765513e-10,4.091980586043678e-09,0.11758197935461427,0.7251286074308887,1.2804365194549914e-06,3.3657872382592985e-06,0.0009306218643032715,1.7969697330992915e-08,0.0003096245203903748,0.002914870197287262,0.17357970171754983
USE_PHASE:DRYING/TUMBLE#COTTON/CLOSET_DRY@GLO,"Tumble dry (cotton, closet dry)",1 kg textile,0.0009944019291460635,0.9588768077306885,3.060066808161151,0.00015681542188031,0.15601478952066072,2.1296827065267198e-10,3.9470150525961985e-09,0.07216992025372843,0.8088035389391556,6.732259082353492e-06,3.7828573531413754e-09,0.0004442787794864414,5.232438416261854e-09,0.000153000876193502,0.0014309278231347004,0.08363663592385928
